Year,OECD members ILO,Euro area ILO,Euro area,OECD members,United States,United Kingdom
1960,,,,,59.40000153,
1961,,,,,59.29999924,60.97000122
1962,,,,,58.79999924,
1963,,,,,58.70000076,
1964,,,,,58.70000076,
1965,,,,,58.90000153,
1966,,,,,59.20000076,61.84999847
1967,,,,,59.59999847,
1968,,,,,59.59999847,
1969,,,,,60.09999847,
1970,,,,,60.40000153,
1971,,,,,60.20000076,61.04000092
1972,,,,,60.40000153,
1973,,,,,60.79999924,
1974,,,,,61.29999924,
1975,,,,,61.20000076,
1976,,,,,61.59999847,
1977,,,,,62.29999924,
1978,,,,,63.20000076,47.09999847
1979,,,,57.70926354,63.70000076,47.13000107
1980,,,,58.12718957,63.79999924,47.04999924
1981,,,51.54908299,59.61528465,63.90000153,59.63000107
1982,,,,,64,
1983,,,52.85456315,59.5313797,64,58.93999863
1984,,,53.44179669,59.80904188,64.40000153,59.79000092
1985,,,53.22016631,59.71656435,64.80000305,61.04999924
1986,,,53.39784259,59.66009016,65.30000305,61.06000137
1987,,,53.49968245,60.07169542,65.59999847,61.45999908
1988,,,53.59717716,59.05693355,65.90000153,61.95000076
1989,,,53.97544387,60.86765486,66.5,62.88999939
1990,60.40838939,54.57000692,54.3087019,59.86973462,66.5,63.02000046
1991,60.54904793,55.03081891,55.01731219,60.80538677,66.19999695,62.65999985
1992,60.51250924,54.66105393,54.41632507,61.08908536,66.40000153,62.38999939
1993,60.1996652,54.42122837,54.26854287,60.59368436,66.30000305,61.88999939
1994,60.32852129,54.38461372,54.28156835,60.91922896,66.66000366,61.74000168
1995,60.23661164,54.18180295,54.03066698,60.76294937,66.72000122,61.56999969
1996,60.2718063,54.26286616,54.13720358,60.34468165,66.87000275,61.68999863
1997,60.4261723,54.31766114,54.27858167,60.61874793,67.19999695,61.86000061
1998,60.39889473,54.67706869,54.616676,60.57199309,67.08999634,61.75999832
1999,60.36816235,54.98959344,54.94695825,60.57816473,67.08000183,61.66999817
2000,60.26418679,55.1030267,55.09239578,60.59272466,67.06999969,61.90999985
2001,60.05210213,54.99598447,54.9881679,60.49241204,66.81999969,61.54999924
2002,59.96249596,55.37302512,55.36204702,60.24526757,66.58000183,61.79000092
2003,59.91063188,55.78514283,55.77378496,60.19304905,66.23999786,61.86999893
2004,59.73496454,55.80966112,55.79762485,60.02007281,65.98999786,61.88000107
2005,59.96150105,56.28595979,56.2482678,60.24155206,66.05000305,62.27000046
2006,60.09679974,56.56708004,56.53153303,60.21582547,66.18000031,62.68999863
2007,60.07211052,56.77550217,56.77509581,60.34793039,66.04000092,62.52000046
2008,60.18121754,57.0412678,57.04061747,60.45645404,65.98999786,62.75999832
2009,60.07529991,56.97593823,56.97562583,60.34854867,65.37000275,62.56000137
2010,59.93073915,56.87882903,56.87703793,60.26044946,64.70999908,62.34999847
2011,59.88619899,56.88812462,56.88736313,60.22026519,64.11000061,62.33000183
2012,59.96577515,57.12059458,57.11856539,60.286638,63.70000076,62.47999954
2013,59.91836733,57.03404835,57.03336006,60.22951719,63.25,62.61000061
2014,59.8516636,56.91926629,56.91881529,60.15025182,62.88999939,62.66999817
2015,59.8738607,56.8231063,56.82236051,60.15234711,62.65000153,62.74000168
2016,60.04499141,57.06369149,57.05838631,60.32476068,62.79000092,62.93000031
2017,60.18473276,57.14008092,57.13890161,60.46738851,62.84999847,62.90999985
2018,60.34737742,57.20873168,57.20827822,60.63874063,62.86999893,63.08000183
2019,60.53470492,57.35342967,57.35285617,60.82108593,63.09999847,63.20999908
2020,59.03887005,56.58485301,56.34979307,59.08007788,61.75,
2021,59.58998013,56.98178137,56.96399942,60.34163606,61.65999985,